class,sex,age,service,stop,npay,avg_bill,A_bill,B_bill,termination
E,F,65.0,1,N,N,10681.2666,1800.0,6889.7,N
D,F,65.0,1,N,N,8824.85989,2745.9999,5276.6,N
C,M,82.0,1,N,N,2355.10011,2141.0001,0.0,N
F,M,63.0,1,N,N,11505.2,2022.0,2450.0,N
G,M,36.0,1,N,N,18498.59011,2471.3001,14345.6,N
C,M,87.0,1,N,N,3910.3334,2712.1334,0.0,N
F,M,57.0,1,N,N,13800.3334,1770.0,8957.92,N
G,M,58.0,2,N,N,19520.3334,2049.0,8520.3,N
C,M,74.0,1,Y,N,1856.80011,1688.0001,0.0,Y
D,F,44.0,1,N,N,10670.2666,2463.9,5219.2666,N
F,M,67.0,3,N,N,16615.8666,336.2001,2447.0,N
F,F,26.0,1,N,Y,15708.54967,1655.0001,12625.4996,N
G,F,34.0,1,N,Y,20733.8,1331.0001,9490.2,N
G,M,19.0,2,N,Y,17099.4667,1221.9999,11937.2506,N
F,F,67.0,1,N,Y,17033.28011,1703.0001,13781.8,N
C,F,60.0,1,N,N,2871.33,2610.3,0.0,N
D,M,58.0,2,N,N,7538.88674,2074.5334,4779.0,N
C,M,23.0,1,N,N,7249.36674,6590.3334,0.0,Y
F,M,54.0,1,N,N,11699.82,2678.0,7958.2,N
G,M,44.0,1,N,N,11757.2667,336.0,11381.8666,N
D,M,63.0,2,N,N,7098.5334,2169.0,0.0,N
G,F,47.0,2,N,N,11853.6333,2756.9334,6683.0666,N
E,F,50.0,1,N,N,14431.2,1654.4526,2252.0001,N
E,M,60.0,1,N,N,9958.2,2018.4549,5602.0,N
C,M,67.0,1,N,Y,2806.09989,2550.9999,0.0,N
F,F,36.0,2,N,Y,18856.9334,815.0001,14169.0334,N
D,M,43.0,2,N,N,1395.9,1269.0,0.0,Y
C,F,90.0,1,N,N,1649.9001,735.0,0.0,N
G,M,41.0,1,N,N,10034.12663,1362.9999,7758.9334,N
C,M,67.0,1,N,N,3148.25478,999.9999,1862.0499,N
E,F,42.0,1,N,N,11029.4,2121.0,5252.0,N
G,M,29.0,1,N,N,15817.2,1326.0,7430.4,N
D,F,50.0,1,N,N,6036.2,1001.1999,4926.2,N
F,F,58.0,1,N,N,18240.0,2814.5001,7002.0,N
C,F,73.0,1,N,N,4350.39,1775.7,2179.2,N
H,M,63.0,5,N,N,18995.43525,1812.9999,15455.5776,N
C,M,72.0,1,N,N,2661.26674,2419.3334,0.0,N
D,F,60.0,1,N,N,7719.4,2344.4001,0.0,N
G,M,65.0,1,N,N,9240.5334,2526.9,4937.6,N
G,F,60.0,3,N,N,12992.76,1986.0,9825.6,N
G,F,35.0,2,N,N,36322.5333,1315.5,10361.87,N
G,F,42.0,2,N,N,15826.33085,332.0001,14055.5734,N
C,M,75.0,1,N,N,1860.0,1217.0001,0.0,N
E,M,64.0,0,N,N,9049.0,1626.0,5429.4,Y
D,F,39.0,0,N,N,7198.2666,889.2999,4318.95996,Y
D,F,27.0,1,N,N,7078.0,332.0001,2001.0,N
C,F,69.0,1,N,N,2440.2,1860.3,0.0,N
E,F,37.0,1,N,N,7982.69989,954.9999,6302.0,N
G,M,62.0,1,N,N,15635.43564,1335.7998,12878.2326,N
C,F,104.0,1,N,N,2058.76011,1871.6001,0.0,N
G,M,7.0,2,N,N,16245.2,2509.5999,11439.6,N
H,M,46.0,6,N,Y,37689.0,2544.3334,12325.0333,N
C,F,66.0,1,N,N,2505.8,1475.0001,581.25,N
G,M,62.0,3,N,Y,19799.4666,2290.5334,9561.6666,N
C,M,32.0,0,N,N,5325.5,1049.0001,3195.3,Y
D,M,7.0,1,N,N,3735.6,993.0,2403.0,N
F,F,58.0,1,N,N,13493.5334,332.7,3762.8666,N
E,F,26.0,1,N,N,17825.0,3087.9332,9817.4334,N
F,M,50.0,1,N,N,16632.0,2506.8666,7601.0,N
C,M,76.0,2,N,N,7745.31989,4282.0,2759.1999,N
D,F,43.0,0,N,N,5138.0,4369.2,0.0,Y
D,F,85.0,1,N,N,5842.98,2758.8,2553.0,N
D,F,24.0,1,N,N,7417.8,986.0001,5398.2004,N
C,M,38.0,1,N,Y,2260.5,2055.0,0.0,N
H,M,20.0,2,N,N,16454.04222,12227.2202,2731.0,N
E,M,57.0,2,N,N,15160.0,4300.0,9096.0,N
C,F,43.0,1,N,N,2221.99989,2019.9999,0.0,N
C,F,68.0,2,N,N,4670.3334,983.7,3184.8334,N
D,F,53.0,1,N,N,7129.0666,2193.0,0.0,N
D,M,68.0,1,N,N,14260.0,2097.9999,6501.4,N
C,F,90.0,1,N,N,1874.4,1704.0,0.0,N
C,M,9.0,1,N,N,7499.6,2538.6999,2479.9,N
G,F,41.0,1,N,N,16428.57337,2084.0001,12851.0666,N
G,F,34.0,1,N,Y,68666.3,2103.0,13914.6686,N
G,F,28.0,1,N,N,15317.2,2325.0,7810.8,N
F,F,53.0,1,N,N,16235.63326,3524.6666,11235.0,N
C,M,78.0,1,N,N,5218.2,1743.0,0.0,N
F,F,47.0,1,N,N,14021.8221,2317.591,10429.52,N
F,F,38.0,1,N,N,17691.4666,2050.4,9189.8666,N
F,M,46.0,3,N,Y,9643.4,2379.5334,5786.04,N
H,F,29.0,1,N,N,15970.6,281.7999,7395.8,N
G,F,25.0,1,N,N,12304.1,998.7,9455.1,N
C,M,63.0,2,N,Y,2483.9334,332.7,1490.36004,N
C,F,48.0,1,N,N,3032.37,2756.7,0.0,N
H,F,20.0,1,N,N,15181.8,2766.9,7511.2,N
G,F,23.0,2,N,N,13463.5,821.7,6216.0334,N
F,M,37.0,2,N,N,18151.6,3153.0,8526.4,N
E,M,29.0,0,N,N,10638.0666,2088.0,6382.83996,Y
C,F,81.0,1,N,N,2908.1001,2315.3334,0.0,N
C,F,53.0,1,N,Y,3801.96674,3456.3334,0.0,N
G,F,29.0,1,N,N,15483.4666,1476.0,6455.0334,N
G,M,26.0,1,N,N,17527.8,674.4999,8896.2,N
G,F,57.0,1,N,N,16396.4666,1797.0,7751.6666,N
E,F,13.0,1,N,N,8175.97011,1030.7001,6402.0,N
F,M,54.0,2,Y,N,12961.0,262.857,5807.7576,N
G,M,25.0,1,N,N,19644.2667,1307.5236,8150.6,N
E,M,36.0,1,N,N,13740.17326,5689.6666,6801.4,N
G,F,65.0,1,N,N,17011.4667,1733.1999,8620.2666,N
C,M,82.0,1,N,Y,4677.78674,4252.5334,0.0,N
C,M,73.0,1,N,N,2591.7999,1055.1999,0.0,N
G,M,21.0,1,N,N,13675.7334,3546.8666,5652.4,N
D,F,62.0,1,N,N,9597.09663,1974.0999,6750.5334,N
D,M,70.0,1,N,N,14614.3334,2824.6666,3822.659,N
C,M,29.0,1,N,N,1505.35011,1368.5001,0.0,Y
E,F,72.0,1,N,N,7105.8666,1108.2999,3409.9334,N
G,M,52.0,1,N,N,14115.71337,2372.0001,10460.4666,N
D,M,69.0,1,N,N,6658.1334,339.9999,3994.88004,N
D,M,61.0,0,N,N,4554.4,2236.0,0.0,Y
F,F,40.0,4,N,Y,16805.7667,2679.0,10083.46002,N
F,F,51.0,1,N,N,5337.0666,1226.1999,3202.23996,N
D,F,30.0,1,N,Y,11606.5,1352.1999,8000.4,N
C,M,39.0,1,N,N,4837.87348,4398.0668,0.0,N
D,F,38.0,0,N,N,14466.6667,2806.6666,8680.00002,Y
D,F,22.0,1,N,N,9420.0666,1212.0,4274.3334,N
D,F,57.0,1,N,N,8794.28,291.0,7703.8,N
E,M,69.0,2,N,N,12284.7334,1283.3001,7370.84004,N
D,M,71.0,1,N,N,4950.8,330.6,2970.48,N
E,M,54.0,1,N,N,11930.8,595.5,7158.48,N
D,M,62.0,2,N,N,7744.7334,7096.1332,0.0,N
D,F,53.0,1,N,N,2518.41777,287.4999,2001.9708,N
G,M,29.0,1,N,Y,17835.76685,2201.0001,14013.3334,N
C,F,75.0,1,N,N,1960.96989,579.6999,1203.0,N
D,M,26.0,2,N,N,2726.3001,2357.0001,0.0,N
E,F,33.0,1,N,N,4624.32674,1245.0,2958.9334,N
C,M,79.0,2,N,N,4168.99989,936.0,2853.9999,N
E,M,51.0,2,N,N,9530.84,2465.2666,6199.1334,N
D,M,16.0,1,N,N,11254.2,3813.3334,4341.8,N
F,M,69.0,2,N,N,15219.4,1240.5999,9131.64,N
C,M,58.0,2,N,N,2161.8999,1122.0,0.0,N
D,F,73.0,1,N,N,9678.4116,5813.5334,2985.0226,N
D,M,31.0,1,N,N,17800.05832,9181.5072,7000.364,N
C,F,60.0,1,Y,Y,2377.8,555.0,1426.68,N
D,M,66.0,2,N,N,5490.8666,1716.0,2337.2001,N
D,F,60.0,1,N,N,9458.09326,2497.2666,6101.0,N
E,M,75.0,2,N,N,14771.6666,1763.6001,9723.3716,N
F,M,55.0,2,N,N,14341.4,2498.9334,6082.0,N
D,F,44.0,1,N,N,8182.3334,1706.0001,4561.0506,N
G,F,22.0,1,N,N,9246.8,1719.9999,6272.8,N
H,M,18.0,1,N,N,15182.4666,2703.4666,5397.2666,N
G,M,64.0,3,N,N,12118.3,1704.0,9481.6,N
G,M,44.0,2,N,N,14515.6,1324.5,7249.0666,N
C,M,41.0,1,N,N,5403.34685,2198.0001,2714.1334,N
H,F,49.0,3,N,N,23672.9333,2076.9999,13814.8,N
F,M,31.0,1,N,N,13658.0,2238.0,4551.0,N
D,M,44.0,3,N,N,7925.4,519.0,4755.24,N
D,F,72.0,1,N,N,4950.8,1014.0,2970.48,N
E,F,48.0,1,N,N,8283.73326,2279.6666,5251.0,N
G,F,29.0,2,N,N,72042.96,55002.4,10491.2,N
G,F,50.0,2,N,N,12809.6333,2001.3,5696.9306,N
G,F,44.0,1,N,Y,16729.7163,2217.9,12990.933,N
F,M,40.0,1,N,N,9672.3,1311.0,7482.0,N
G,M,24.0,1,N,N,11677.56337,1090.7001,9525.2666,N
D,F,38.0,0,N,N,8604.2666,1669.7964,5162.55996,Y
E,M,65.0,1,N,N,8942.9334,1254.9999,5332.7334,N
H,F,26.0,1,N,N,12160.6,2356.5999,9544.1866,N
F,F,35.0,1,N,Y,22029.2667,5522.8666,9624.7334,N
D,F,74.0,1,N,N,7151.35685,4474.5334,2026.7001,N
C,M,56.0,1,N,N,5235.92674,4759.9334,0.0,N
C,F,74.0,1,N,N,2950.2,1359.0,1323.0,N
E,M,71.0,2,N,N,17527.3334,608.1,9622.3334,N
D,M,66.0,1,N,N,13528.90011,1697.0001,10602.0,N
C,M,53.0,1,N,N,2360.59989,2145.9999,0.0,Y
E,M,27.0,2,N,N,16441.4666,2409.9999,7358.3334,N
E,F,34.0,1,N,N,10846.5,1488.8001,5651.8666,N
E,M,62.0,2,N,N,8626.6,999.8001,6001.4666,N
C,M,70.0,1,N,N,2648.50674,2407.7334,0.0,N
D,F,58.0,1,N,N,7453.8666,1704.0,4472.31996,N
D,F,54.0,2,N,N,16513.0,1292.7999,9108.6,N
D,F,27.0,1,N,N,6510.38674,2014.1334,3904.4,N
G,M,30.0,1,N,N,12279.33355,1806.2001,9356.8304,N
C,M,56.0,0,N,Y,2420.0001,282.0,1452.00006,Y
D,M,76.0,0,Y,N,3909.7,2970.1334,0.0,Y
G,F,24.0,2,N,N,25998.1667,331.2,18005.2666,N
E,F,43.0,1,N,N,6493.44663,342.3999,5560.7334,N
D,M,21.0,1,N,N,18606.6666,2250.9999,6922.5334,N
G,F,43.0,1,N,N,15199.7334,5509.5334,8409.2,N
G,F,22.0,2,N,Y,20661.7,174.0,13213.7334,N
G,M,64.0,1,N,N,10953.8333,330.0,5462.7746,N
G,M,52.0,2,N,N,20354.6,243.0,15499.2614,N
D,F,49.0,1,N,N,6566.4,2686.6,3271.0,N
D,M,41.0,0,N,N,6534.4,2778.0,0.0,Y
F,M,73.0,1,N,N,15590.0333,2171.8,7102.0584,N
D,M,72.0,3,N,N,10706.8666,1491.0,4501.0,N
C,M,76.0,1,N,N,3912.55326,3556.8666,0.0,N
G,F,39.0,2,N,Y,26239.0667,2372.4,11320.485,N
D,F,47.0,1,N,N,6507.7334,4158.6668,0.0,N
G,F,43.0,2,N,N,25399.7333,3625.5966,14330.4666,N
D,M,58.0,1,N,N,5160.0,335.1,3096.0,N
G,F,38.0,1,N,N,16814.6666,3713.6,9031.5534,N
C,F,56.0,1,N,N,4229.7334,330.9999,2537.84004,N
G,M,64.0,1,N,N,10480.6,2134.3334,7403.8,N
G,M,77.0,2,N,N,18950.2666,1311.5001,12118.0666,N
G,M,40.0,3,N,N,18378.9,1710.9999,9084.12,N
C,M,17.0,1,N,N,2206.60011,2006.0001,0.0,Y
G,M,32.0,1,N,N,18843.9,837.0,10911.2,N
E,F,78.0,6,N,N,7952.0666,2473.3334,3589.2368,N
E,F,25.0,1,N,N,9460.80663,2562.9999,6037.7334,N
G,F,19.0,1,N,N,16802.8,1656.0,6375.1,N
C,F,42.0,1,N,N,2263.5,884.0001,0.0,N
C,F,53.0,1,N,N,3830.93337,557.6001,2925.0666,N
G,M,43.0,3,N,Y,17030.48996,1935.0,13547.2636,N
C,M,78.0,1,N,N,2221.19326,2019.2666,0.0,N
G,M,51.0,1,N,N,15528.0666,1704.0,7213.0,N
E,F,41.0,1,N,N,8283.00869,2367.9999,5162.008,N
G,M,17.0,1,N,N,18276.6,5372.7334,10273.8666,N
E,F,58.0,1,N,Y,17001.5333,2915.0001,9738.53,N
E,M,36.0,1,N,N,17777.52526,7704.6666,8456.72,N
C,M,78.0,1,N,N,2053.03989,1866.3999,0.0,N
E,F,57.0,1,N,N,9163.25663,345.9999,7984.2334,N
G,M,53.0,3,N,N,19645.3334,1722.0,8579.4,N
C,M,66.0,1,N,N,1710.9,984.0,0.0,N
E,M,54.0,0,N,N,13835.1334,902.9001,8301.08004,Y
C,M,51.0,0,N,N,3169.0,2683.4001,0.0,Y
G,M,25.0,1,N,N,19940.0,2845.5,9926.384,N
C,M,74.0,1,N,N,3324.64011,984.0,2038.4001,N
G,M,20.0,1,N,N,17644.8,2627.3334,6681.4,N
C,F,61.0,1,N,N,8494.56652,7722.3332,0.0,N
C,M,42.0,1,N,N,3774.24674,3431.1334,0.0,Y
G,F,21.0,1,N,N,13829.8578,5214.4646,7358.1334,N
D,M,57.0,1,N,Y,9107.63326,8279.6666,0.0,N
E,M,32.0,1,N,N,10478.3334,2068.6666,5924.7,N
D,M,77.0,2,N,Y,7031.74989,2505.0999,3887.4,N
C,M,47.0,1,N,N,2428.8,2208.0,0.0,Y
C,F,43.0,1,N,N,1860.0,293.0001,1116.0,N
D,F,79.0,1,N,N,8099.85,2099.1,5264.4,N
C,M,69.0,1,N,Y,4709.53989,1212.9999,3068.4,N
D,F,60.0,2,N,N,7598.8,330.0,4559.28,N
C,M,88.0,1,N,Y,2208.9,341.0001,1325.34,N
H,M,22.0,2,N,Y,21130.0,1548.3999,15196.4496,N
C,M,53.0,1,N,N,2903.6001,981.0,0.0,N
E,M,48.0,1,N,N,6140.0,2658.0,0.0,N
C,M,37.0,0,N,N,9800.0,1067.0001,5880.0,Y
D,M,59.0,1,N,N,428.77989,389.7999,0.0,Y
G,F,28.0,2,N,Y,16095.71337,2195.0001,12437.4666,N
F,F,52.0,1,N,N,9982.93989,1731.9999,7343.4,N
C,M,55.0,1,N,N,2310.0,2193.0,0.0,N
C,M,52.0,1,N,Y,6781.80811,3908.6,2256.6801,N
D,M,74.0,2,N,N,4009.3334,1641.0,2332.7334,N
D,F,40.0,2,N,Y,11035.6,822.0,8037.808,N
D,F,55.0,1,N,N,7681.15315,1829.7999,5153.0666,N
G,F,31.0,1,N,Y,23837.9333,1431.9999,6803.0962,N
F,M,67.0,2,N,N,12452.8,777.2001,3564.0,N
C,F,74.0,1,N,N,5265.70011,2144.0001,2643.0,N
C,M,73.0,1,N,N,11186.19326,7867.2666,2302.0,N
D,F,58.0,3,N,N,8604.3334,946.2,6000.8274,N
C,F,28.0,1,N,N,4677.82315,2348.6666,1903.8999,N
C,F,44.0,2,N,Y,3323.0666,1592.0001,0.0,N
D,F,44.0,1,N,N,12420.2666,2001.3334,4090.2666,N
G,M,33.0,2,N,N,10144.9667,1634.7999,4514.1334,N
G,F,40.0,1,N,N,17102.6,2395.5999,5390.8,N
G,F,43.0,2,N,N,21950.1,2268.0,11583.1996,N
C,F,73.0,2,N,N,5672.62652,5156.9332,0.0,N
G,F,52.0,1,N,N,12363.1667,339.3,8410.4666,N
D,M,57.0,1,N,N,8219.2666,282.6,4361.6666,N
D,M,14.0,1,N,Y,7421.8666,2442.6666,4651.2,N
G,M,49.0,1,N,N,13203.2333,1677.0,8410.0,N
G,M,25.0,1,N,N,14915.802,2275.4,11284.42,N
F,M,45.0,1,N,N,10898.1667,1497.0,8381.2,N
G,F,66.0,1,N,N,9661.88685,1722.2001,7061.3334,N
C,F,69.0,1,N,N,1863.6999,917.1,0.0,N
C,M,45.0,1,N,Y,6949.72674,2325.0,3992.9334,N
G,F,28.0,1,N,N,15396.9334,330.0,12545.6,N
C,F,59.0,1,N,N,1874.6001,1832.0001,0.0,N
C,M,67.0,1,N,N,2670.0999,2006.9334,0.0,N
F,M,24.0,1,N,N,12615.1333,2955.2001,9047.9334,N
F,F,53.0,1,N,N,12556.1334,582.6999,8280.9334,N
G,F,71.0,1,N,N,15555.2666,2003.8,10623.5234,N
D,F,64.0,1,N,N,6471.0,1392.0,3901.1334,N
G,F,65.0,3,N,N,18742.46,3409.2,13629.4,N
E,F,61.0,1,N,N,9328.00011,1478.0001,7002.0,N
C,F,49.0,1,N,N,2479.1001,2256.0,0.0,N
C,M,39.0,1,N,N,6361.9334,3638.9334,0.0,N
E,M,50.0,1,N,N,9004.0666,772.1001,2307.4666,N
E,F,53.0,1,N,N,13904.8,1445.0001,8342.88,N
C,M,75.0,1,N,N,1799.1,1693.2999,0.0,N
G,F,57.0,2,N,Y,15595.7667,4229.3732,9999.7334,N
F,M,35.0,1,N,N,16187.5334,1555.9872,9621.897,N
C,F,38.0,0,N,N,300.0,285.0,0.0,Y
G,F,40.0,1,N,N,10129.6333,1156.8999,3658.1334,N
C,M,82.0,1,N,N,1618.2,338.4999,970.92,N
E,M,58.0,0,N,Y,10280.0,2372.1999,6168.0,Y
D,M,33.0,1,N,N,7400.0,1262.7,4440.0,N
D,M,52.0,2,N,N,7196.4,1704.0,1053.0,N
G,F,39.0,1,N,N,12558.0,1957.8,8942.2,N
C,M,42.0,1,N,N,6620.0666,1325.0001,2782.6666,N
F,M,45.0,4,N,Y,18532.8,2966.2998,6683.4666,N
E,M,27.0,1,N,N,11125.17989,1211.7999,8902.0,N
E,M,42.0,2,N,N,13188.7334,996.0,5771.5334,N
E,M,20.0,1,N,N,15490.0,1212.0,6203.2,N
G,F,56.0,1,N,N,18293.6,984.0,5682.4,N
E,F,56.0,1,N,N,7391.99989,1488.9999,5231.0,N
C,M,46.0,1,N,N,3150.73011,335.0001,2529.3,N
D,M,22.0,1,N,N,6940.0,1686.0,3881.8,N
G,M,48.0,1,N,N,18149.26674,4390.0,12109.3334,N
G,M,40.0,1,N,N,15642.3334,1785.9999,7877.7334,N
D,F,30.0,1,N,N,6370.10011,1352.0001,4439.0,N
C,M,84.0,1,N,N,3402.81326,3093.4666,0.0,N
G,M,40.0,1,N,N,15333.26674,3837.3334,10102.0,N
D,M,49.0,2,N,N,6994.50598,356.6418,6002.0,N
C,F,91.0,1,N,N,333.3999,330.0,0.0,N
E,F,34.0,1,N,N,16589.3334,772.7001,2497.9334,N
D,M,84.0,3,N,N,7362.22663,2196.9999,4495.9334,N
C,M,76.0,1,N,N,1448.3001,1067.0001,0.0,N
G,M,34.0,2,N,N,43521.0667,3854.6,11562.7423,N
D,M,58.0,1,N,N,5673.94674,2391.3334,2766.8,N
D,F,18.0,1,N,N,5903.7,1656.0,3711.0,N
G,M,53.0,1,Y,N,11693.0,1548.0,9082.0,N
C,F,53.0,2,Y,N,2707.98,2461.8,0.0,N
G,M,32.0,4,Y,Y,26910.7,1659.9999,13347.47,N
D,M,53.0,0,N,Y,7597.3334,2094.0,4558.40004,Y
G,F,58.0,2,N,Y,17329.33719,4589.5334,11164.4095,N
D,M,29.0,1,N,N,6643.0666,2012.4,0.0,N
C,F,76.0,1,N,N,5686.56,2223.9999,2945.6001,N
D,M,47.0,0,N,N,4160.0,3227.4,0.0,Y
G,F,62.0,1,N,N,10013.8333,524.6001,4838.7164,N
C,M,23.0,1,N,N,1262.47011,1147.7001,0.0,Y
E,M,58.0,3,N,N,8661.8,1704.0,5197.08,N
F,M,71.0,1,N,N,14682.6333,1656.0,1503.0,N
E,M,35.0,1,N,N,9575.49989,1722.9999,6982.0,N
C,F,53.0,1,N,N,1998.0999,1214.7,0.0,N
G,F,20.0,1,N,N,17498.8,1844.0001,6274.2,N
E,M,44.0,2,N,N,16485.2666,2292.0,7736.2146,N
C,M,70.0,2,N,N,5277.50663,2253.9999,2543.7334,N
D,F,28.0,1,N,N,11214.9796,5189.5026,5005.9334,N
D,F,65.0,1,N,N,5663.9,1227.0,3922.0,N
D,M,60.0,0,N,Y,5300.0,2653.3334,0.0,Y
E,F,61.0,0,N,N,7129.0,1744.0713,4277.4,Y
F,M,45.0,2,N,N,13985.2666,2033.7999,7155.32,N
C,M,16.0,1,N,N,6272.78674,3600.5334,2102.0,N
D,F,68.0,1,N,N,4882.68011,1236.8001,3202.0,N
F,M,28.0,1,N,Y,13905.46674,1326.0,11315.3334,N
D,M,40.0,0,N,N,3825.8,1476.0,2002.0,N
C,M,68.0,1,N,N,1693.99989,1539.9999,0.0,N
G,M,38.0,1,N,N,14321.8,330.0,9103.8,N
C,F,66.0,1,N,N,5123.8,1656.0,3002.0,N
D,M,53.0,0,N,N,7001.1334,5370.804,0.0,Y
F,F,28.0,1,N,N,12918.0666,1488.9999,8511.0666,N
E,M,75.0,1,N,N,5455.00989,1908.0999,3051.0,N
D,M,66.0,2,N,N,14997.9334,2385.3334,4525.4924,N
D,M,49.0,1,N,N,13208.4,337.7001,7925.04,N
C,M,70.0,1,N,N,1980.0,780.0,0.0,N
D,F,44.0,1,N,Y,5464.8088,2666.2666,2301.7414,N
E,M,62.0,1,N,N,8358.2,1748.9001,3981.2,N
C,F,74.0,1,N,N,2950.96989,330.0,2352.6999,N
C,F,63.0,0,N,N,1871.65011,1701.5001,0.0,Y
G,M,41.0,1,N,N,16005.44,2152.6,12397.8,N
G,F,55.0,2,N,N,14452.8666,1965.2001,7811.6306,N
G,F,58.0,2,N,N,13778.4,1020.9999,8624.5334,N
G,M,20.0,1,N,Y,17509.21326,3213.6,12703.8666,N
G,M,28.0,1,Y,N,15417.16,1722.0,12293.6,N
C,F,44.0,0,N,N,8600.0,1212.0,5160.0,Y
D,F,50.0,0,N,N,4811.5334,1466.4909,0.0,N
C,M,21.0,1,N,N,300.0,90.0,180.0,Y
C,F,68.0,1,N,N,2700.86674,2455.3334,0.0,N
G,M,38.0,1,N,N,18776.4,2816.46,10778.4,N
D,F,52.0,1,N,N,8190.0,1228.5,4501.4,N
G,M,40.0,1,N,N,19838.2,2975.73,12545.8,N
D,M,47.0,1,N,N,16792.9334,2518.94001,3741.6,N
G,F,34.0,1,N,N,14856.9,2228.535,9297.2666,N
G,F,26.0,1,N,N,15977.4,2396.61,8387.6666,N
D,M,49.0,1,N,N,3298.0,494.7,2401.5,N
C,M,66.0,1,N,N,1858.2999,1713.9999,0.0,N
G,M,36.0,1,N,N,15672.6,2350.89,9990.1456,N
G,F,51.0,1,N,N,14080.0,2112.0,7982.0,N
D,F,62.0,1,N,N,7598.0,1139.7,4501.8,N
C,M,85.0,1,N,N,1145.4,930.0,0.0,N
C,M,49.0,0,N,N,8712.6,2613.78,5227.56,Y
E,M,55.0,1,N,N,11034.5334,1655.18001,7374.6,N
E,M,84.0,2,N,N,7131.4,1069.71,4453.4,N
E,M,63.0,2,N,N,5711.4666,792.0,2723.0001,N
E,F,21.0,1,N,N,11674.0,1751.1,4500.6,N
G,M,48.0,3,N,N,11236.8333,1700.0001,8205.5334,N
D,M,87.0,1,N,N,7697.9334,1730.0001,4618.76004,N
E,M,75.0,2,N,N,9035.47337,2213.0001,6001.0666,N
F,F,38.0,1,N,N,8576.0,0.0,7982.0,N
D,M,60.0,1,N,N,4700.0,825.0,2820.0,N
F,M,50.0,0,N,N,18361.2666,5508.37998,11016.75996,Y
C,M,79.0,1,N,N,2619.9999,2552.0001,0.0,N
C,M,59.0,1,N,N,2700.0,2194.1001,0.0,N
G,F,65.0,3,N,N,29392.7,2028.3999,10200.0084,N
E,F,58.0,1,N,N,6844.0,1026.6,3863.0,N
D,F,56.0,1,N,N,300.0,90.0,180.0,Y
E,M,65.0,2,N,N,8077.6,819.0,7239.4506,N
H,F,62.0,2,N,N,13629.2666,2044.38999,4882.4666,N
G,F,53.0,1,N,N,9750.8,1462.62,6454.4,N
F,M,54.0,2,N,Y,18705.1334,1814.3001,4948.328,N
D,F,80.0,1,N,N,4008.0,0.0,3801.2,N
G,M,64.0,3,N,N,20624.6333,2333.5334,2476.6,N
G,M,18.0,1,N,N,15838.2,2375.73,10203.488,N
D,M,37.0,2,N,N,4180.0,0.0,3601.4,N
D,M,69.0,2,N,N,4052.17989,1005.9999,2677.8,N
G,F,28.0,2,N,Y,36967.0333,5545.054995,7527.5666,N
D,F,15.0,1,N,N,11563.0,1734.45,3450.2,N
F,M,54.0,4,N,N,14623.6,2773.8999,6981.6666,N
C,M,74.0,1,N,N,2535.3999,2459.0001,0.0,N
D,M,54.0,1,N,N,10142.6,0.0,8442.3072,N
D,M,29.0,0,N,N,4200.0,1260.0,2520.0,Y
G,F,31.0,4,Y,N,14931.3333,569.1,6493.6,N
C,F,64.0,1,N,N,2697.3999,2637.0,0.0,N
D,F,45.0,1,N,N,29612.9333,4441.939995,4563.5334,N
G,M,57.0,1,N,Y,18354.2666,2753.13999,12159.6666,N
D,F,40.0,1,N,Y,12084.0,1812.6,7024.564,N
C,F,53.0,1,N,N,4456.4,1336.92,2673.84,Y
E,M,54.0,2,N,N,10300.51,930.9,8433.2,N
E,M,52.0,1,N,N,11874.4666,1781.16999,7780.9334,N
C,M,77.0,1,N,N,2212.5999,2074.1001,0.0,N
D,M,30.0,1,N,N,14888.2666,2233.23999,5121.2666,N
G,M,37.0,1,N,N,18852.0666,2827.80999,12045.6,N
G,F,32.0,2,N,Y,10207.7,1531.155,5116.922,N
G,M,43.0,1,N,N,12138.7667,1820.815005,8221.7334,N
D,M,49.0,0,N,N,4276.4,1282.92,2565.84,Y
E,F,60.0,2,N,N,7650.8,1206.0,6302.0,N
G,M,39.0,0,N,N,11567.2666,0.0,11236.3996,N
C,M,61.0,1,N,N,1712.7999,1554.0,0.0,N
D,F,56.0,1,N,N,4938.8,0.0,4740.8,N
E,F,57.0,1,N,N,8254.9334,1238.24001,6319.4666,N
C,M,54.0,1,N,N,2200.0,0.0,2002.0,N
E,M,66.0,1,N,N,12943.0666,1941.45999,5639.2,N
D,F,66.0,2,N,N,9503.4666,1431.0,4447.2948,N
D,M,77.0,1,N,N,6507.2,976.08,2634.9,N
D,F,20.0,1,N,N,7130.3334,0.0,6792.3414,N
G,M,26.0,1,N,N,77217.6,23165.28,46330.56,Y
E,M,43.0,0,N,N,7684.7334,2305.42002,4610.84004,Y
F,F,21.0,1,N,Y,13574.0,2036.1,8981.4,N
H,M,60.0,1,N,N,16500.4004,0.0,15000.364,N
E,M,60.0,3,N,Y,12529.2,2768.2,7517.52,N
F,M,26.0,2,N,N,16772.0,0.0,13781.7334,N
D,M,38.0,1,N,N,5020.0,1419.0,3012.0,N
D,F,15.0,1,N,N,6200.0,0.0,6002.0,N
G,M,59.0,1,N,N,10565.9667,1584.895005,6718.9166,N
G,M,31.0,2,N,N,15630.7667,2301.9999,10334.2,N
C,M,68.0,1,N,N,1995.5001,1865.0001,0.0,N
